token_normalizado,resolucion_canonica,categoria,validar,observaciones,frecuencia_total,datasets_presentes,ejemplos_raw
acep compet,acepta competencia,competencia,,,1,1,Acep compet/sobres
acept compet par,acepta competencia,competencia,,,1,1,Acept compet par
acepta comp.,acepta competencia,competencia,,,1,1,Acepta Comp.
acepta competen,acepta competencia,competencia,,,5,1,Acepta competen
acepta competencia,acepta competencia,competencia,,,104,3,Acepta competencia | acepta Competencia | Acepta Competencia - Sobreseimiento
acepta competencia parcial,acepta competencia,competencia,,,2,1,acepta competencia parcial
acepta parc compet,acepta competencia,competencia,,,1,1,Acepta parc compet
acepta parcialmente competencia,acepta competencia,competencia,,,5,1,acepta parcialmente competencia
comp,acepta competencia,competencia,,,2,1,Comp/Sobreseimiento | Comp /  no al sob
comp parcial,acepta competencia,competencia,,,1,1,Comp parcial
competencia,acepta competencia,competencia,,,4,2,Competencia
competencia aceptada,acepta competencia,competencia,,,35,1,Competencia Aceptada | competencia aceptada
competencia aceptada parcialmente,acepta competencia,competencia,,,1,1,competencia aceptada parcialmente
competencia parcialmente aceptada,acepta competencia,competencia,,,1,1,competencia parcialmente aceptada
no hace lugar a declinatoria,acepta competencia,competencia,,,1,1,no hace lugar a declinatoria
no hace lugar declin,acepta competencia,competencia,,,1,1,No hace lugar declin
aclaratoria,aclaratoria,varios,,,1,1,Aclaratoria
actualizar antecdt,actualización de antecedentes,varios,,,1,1,Actualizar antecdt
allanamiento,allanamiento,allanamiento,,,29,3,"Allanamiento | allanamiento | Allanamiento,  No hace lugar a detención"
allanamiento y secuestro,allanamiento,allanamiento,,,2,1,Allanamiento y secuestro | allanamiento y secuestro
convalida allanamiento,allanamiento,allanamiento,,,2,1,convalida allanamiento-secuestro/autoriza apertura | detención concedida - convalida allanamiento
convalidacion de allanamiento,allanamiento,allanamiento,,,2,1,"convalidacion de allanamiento | convalidacion de allanamiento, cese de prision preventiva"
det y allanamiento,allanamiento,allanamiento,,,1,1,Det y allanamiento
